Month;Group;Sports;Result type;Bet slip count 1;No. of bets 1;Bet count;Cancelled;Payback;Won;Total stake;Profit;profit-rate;Bonus;Paid out;Theoretic margin
ene-21;Football - Netherlands - Eredivisie;Football;Does the specified team score in both halves?;2;2;5;0,00 €;0,00 €;150,95 €;47,54 €;-103,40 €;-217.48% ;0,00 €;150,95 €;0,09 €  /  0,37 €  ( 24.68% )
ene-21;Football - Netherlands - Eerste Divisie;Football;Who wins the half?;10;11;29;0,00 €;0,00 €;98,55 €;59,33 €;-39,22 €;-66.11% ;0,00 €;98,55 €;3,78 €  /  27,74 €  ( 13.64% )
ene-21;Football - Germany - 2nd Bundesliga;Football;Winning Margin;1;1;2;0,00 €;0,00 €;0,00 €;0,27 €;0,27 €;100.00%;0,00 €;0,00 €;0,05 €  /  0,23 €  ( 22.34% )
ene-21;Football - Germany - Bundesliga;Football;Over/Under corners in match;246;297;617;8,83 €;21,98 €;2.730,04 €;3.071,59 €;319,56 €;10.48%;1,83 €;2.753,85 €;58,11 €  /  1.651,74 €  ( 3.52% )
ene-21;Football - Croatia - HNL;Football;Halftime - Over/Under Bet;4;4;20;0,00 €;0,00 €;10,08 €;8,13 €;-1,95 €;-24.04% ;0,00 €;10,08 €;1,37 €  /  5,81 €  ( 23.60% )
ene-21;Football - Croatia - HNL;Football;3-Way;93;101;447;0,00 €;23,94 €;306,61 €;513,94 €;183,39 €;37.43%;1,09 €;331,64 €;40,32 €  /  272,64 €  ( 14.79% )
ene-21;Football - Czech Republic - 1. Liga;Football;Will there be at least 1 goal in both halves?;2;2;5;0,00 €;0,00 €;4,36 €;3,88 €;-0,48 €;-12.41% ;0,00 €;4,36 €;0,48 €  /  2,70 €  ( 17.75% )
ene-21;Football - Czech Republic - 1. Liga;Football;Who wins the half?;7;8;10;0,00 €;0,00 €;18,78 €;42,00 €;23,22 €;55.28%;0,00 €;18,78 €;1,50 €  /  11,37 €  ( 13.18% )
ene-21;Football - Russia - Premier League;Football;3-Way;0;0;1;0,00 €;0,00 €;0,00 €;0,07 €;0,07 €;100.00%;0,00 €;0,00 €;0,02 €  /  0,07 €  ( 29.11% )
ene-21;Football - Turkey - Super Lig;Football;How many goals will team X score?;3;3;6;0,00 €;0,00 €;0,00 €;32,34 €;32,34 €;100.00%;0,00 €;0,00 €;0,10 €  /  0,23 €  ( 42.59% )
ene-21;Football - Turkey - Super Lig;Football;Winning Margin;0;0;2;0,00 €;0,00 €;0,00 €;0,11 €;0,11 €;100.00%;0,00 €;0,00 €;0,04 €  /  0,08 €  ( 44.90% )
ene-21;Football - International Clubs - Club Friendly Games;Football;Correct score;5;5;8;0,00 €;0,00 €;0,50 €;10,79 €;10,29 €;95.33%;0,00 €;0,50 €;0,22 €  /  1,50 €  ( 14.55% )
ene-21;Football - International Clubs - Club Friendly Games;Football;Winning Margin;1;1;3;0,00 €;0,00 €;0,76 €;0,65 €;-0,11 €;-16.84% ;0,00 €;0,76 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Turkey - 1. Lig;Football;Double chance;15;16;85;0,00 €;5,90 €;33,89 €;35,17 €;-4,63 €;-15.81% ;2,02 €;41,81 €;5,80 €  /  24,48 €  ( 23.70% )
ene-21;Handball - Sweden - Handbollsligan;Handball;3-Way;0;0;2;0,00 €;0,00 €;1,77 €;0,80 €;-0,97 €;-120.32% ;0,00 €;1,77 €;0,07 €  /  0,80 €  ( 9.15% )
ene-21;Ice Hockey - USA - NHL;Ice Hockey;Draw no bet;4;4;10;0,00 €;4,63 €;0,00 €;25,38 €;20,75 €;100.00%;0,00 €;4,63 €;3,03 €  /  20,75 €  ( 14.60% )
ene-21;Football - Australia - A-League;Football;Who scores next ?;1;1;1;0,00 €;0,00 €;0,00 €;2,32 €;2,32 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Australia - A-League;Football;3-Way;95;95;186;0,00 €;18,53 €;156,15 €;310,51 €;135,83 €;46.52%;0,27 €;174,95 €;24,01 €  /  195,96 €  ( 12.25% )
ene-21;Football - Poland - Puchar Polski;Football;Double chance;0;0;1;0,00 €;0,00 €;0,00 €;0,21 €;0,21 €;100.00%;0,00 €;0,00 €;0,08 €  /  0,21 €  ( 38.04% )
ene-21;Football - Belgium - Beker van Belgie;Football;Double chance;0;0;1;0,00 €;0,00 €;0,00 €;0,10 €;0,10 €;100.00%;0,00 €;0,00 €;0,06 €  /  0,10 €  ( 59.94% )
