Month;Group;Sports;Result type;Bet slip count 1;No. of bets 1;Bet count;Cancelled;Payback;Won;Total stake;Profit;profit-rate;Bonus;Paid out;Theoretic margin
ene-21;Tennis - WTA - Gippsland, Melbourne, Australia;Tennis;Who wins Y. game in set X;1;1;1;0,00 €;0,00 €;0,00 €;11,58 €;11,58 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Tennis - WTA - Gippsland, Melbourne, Australia;Tennis;Handicap;5;5;14;0,00 €;0,00 €;31,28 €;136,45 €;105,17 €;77.08%;0,00 €;31,28 €;0,79 €  /  1,36 €  ( 58.06% )
ene-21;Tennis - WTA - Gippsland, Melbourne, Australia;Tennis;Number of sets played;0;0;3;0,00 €;0,00 €;0,00 €;0,04 €;0,04 €;100.00%;0,00 €;0,00 €;0,03 €  /  0,04 €  ( 63.15% )
ene-21;Tennis - WTA - Gippsland, Melbourne, Australia;Tennis;Over/Under sets in match;1;1;1;0,00 €;0,00 €;0,00 €;1,74 €;1,74 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Tennis - WTA - Gippsland, Melbourne, Australia;Tennis;Over/under Y Games in X.set;0;0;4;0,00 €;0,00 €;0,00 €;0,07 €;0,07 €;100.00%;0,00 €;0,00 €;0,04 €  /  0,07 €  ( 57.63% )
ene-21;Tennis - WTA - Gippsland, Melbourne, Australia;Tennis;Who will win set X?;8;8;9;0,00 €;0,00 €;8,60 €;6,85 €;-1,75 €;-25.51% ;0,00 €;8,60 €;0,01 €  /  0,03 €  ( 40.21% )
ene-21;Tennis - WTA - Gippsland, Melbourne, Australia;Tennis;2-Way;19;19;75;0,00 €;0,00 €;163,28 €;255,23 €;91,95 €;36.03%;2,11 €;165,38 €;23,71 €  /  134,12 €  ( 17.67% )
ene-21;Tennis - WTA - Gippsland, Melbourne, Australia, Doubles;Tennis;Who will win set X?;2;2;4;0,00 €;0,00 €;7,08 €;5,47 €;-1,61 €;-29.51% ;0,00 €;7,08 €;0,02 €  /  0,03 €  ( 66.31% )
ene-21;Tennis - WTA - Gippsland, Melbourne, Australia, Doubles;Tennis;2-Way;0;0;1;0,00 €;0,00 €;0,00 €;0,15 €;0,15 €;100.00%;0,00 €;0,00 €;0,03 €  /  0,15 €  ( 21.96% )
ene-21;Tennis - Challenger - Antalya 1, Turkey;Tennis;Who will win set X?;6;7;15;0,00 €;0,00 €;27,61 €;40,23 €;12,61 €;31.35%;0,00 €;27,61 €;3,71 €  /  28,90 €  ( 12.82% )
ene-21;Tennis - Challenger - Antalya 2, Turkey;Tennis;Handicap;1;1;3;0,00 €;0,00 €;0,00 €;48,64 €;48,64 €;100.00%;0,00 €;0,00 €;8,59 €  /  48,64 €  ( 17.66% )
ene-21;Tennis - Challenger - Antalya 2, Turkey;Tennis;2-Way;1;1;1;0,00 €;0,00 €;0,00 €;2,32 €;2,32 €;100.00%;0,00 €;0,00 €;0,30 €  /  2,32 €  ( 13.16% )
ene-21;Tennis - Challenger - Antalya 2, Turkey;Tennis;2-Way;1;1;3;0,00 €;0,00 €;0,00 €;1,39 €;1,39 €;100.00%;0,00 €;0,00 €;0,12 €  /  1,39 €  ( 8.49% )
ene-21;Tennis - ATP - ATP Cup, Gr.B;Tennis;2-Way;1;1;5;0,00 €;0,00 €;5,93 €;4,69 €;-1,24 €;-26.46% ;0,00 €;5,93 €;0,04 €  /  0,06 €  ( 58.46% )
ene-21;Tennis - ATP - ATP Cup, Gr.D;Tennis;2-Way;0;0;1;0,00 €;0,00 €;0,00 €;0,05 €;0,05 €;100.00%;0,00 €;0,00 €;0,03 €  /  0,05 €  ( 61.88% )
ene-21;Dota 2 - ESL Dota2 - ESL One CIS Online;e-Sports;Over/Under maps in match;0;0;1;0,00 €;0,00 €;0,00 €;0,01 €;0,01 €;100.00%;0,00 €;0,00 €;0,01 €  /  0,01 €  ( 58.00% )
ene-21;Football - Costa Rica - Liga de Ascenso, Clausura;Football;Who scores next ?;1;1;1;0,00 €;0,00 €;0,31 €;0,23 €;-0,08 €;-35.00% ;0,00 €;0,31 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Costa Rica - Liga de Ascenso, Clausura;Football;Who wins the half?;0;0;1;0,00 €;0,00 €;0,00 €;0,01 €;0,01 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,01 €  ( 7.75% )
ene-21;Football - Costa Rica - Liga de Ascenso, Clausura;Football;3-Way;1;1;8;0,00 €;0,00 €;0,00 €;0,62 €;0,62 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,05 €  ( 3.01% )
ene-21;Tennis - Challenger - ATP Challenger Quimper 2, France Men Singles;Tennis;2-Way;4;4;8;0,00 €;0,00 €;6,24 €;82,83 €;76,59 €;92.46%;0,00 €;6,24 €;-0,87 €  /  82,83 €  ( -1.05% )
ene-21;MMA - UFC - UFC Fight Night: Overeem vs. Volkov;Boxing;Match Winner;1;1;1;0,00 €;0,00 €;0,00 €;0,84 €;0,84 €;100.00%;0,00 €;0,00 €;0,03 €  /  0,84 €  ( 4.03% )
ene-21;Football - Spain Amateur - Tercera Division;Football;Who wins the half?;5;5;10;0,00 €;0,00 €;17,36 €;26,58 €;9,21 €;34.67%;0,00 €;17,36 €;4,43 €  /  19,25 €  ( 23.00% )
ene-21;Football - Spain Amateur - Tercera Division;Football;3-Way;103;104;387;0,00 €;233,54 €;731,15 €;761,88 €;-202,81 €;-38.39% ;0,32 €;965,01 €;41,48 €  /  431,56 €  ( 9.61% )
ene-21;Football - Brazil - Copa Alagoas;Football;Who wins the half?;1;1;1;0,00 €;0,00 €;0,00 €;2,32 €;2,32 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Brazil - Copa Alagoas;Football;3-Way;0;0;2;0,00 €;0,00 €;0,00 €;0,42 €;0,42 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - England - Premier League;Football;Which team will get the first yellow card?;4;4;5;0,00 €;0,00 €;0,58 €;11,01 €;10,43 €;94.75%;0,00 €;0,58 €;2,25 €  /  11,01 €  ( 20.42% )
ene-21;Football - England - Premier League;Football;Will there be a red card in the match?;4;5;17;0,00 €;10,56 €;5,96 €;16,98 €;0,46 €;7.20%;0,16 €;16,68 €;1,48 €  /  4,11 €  ( 35.94% )
ene-21;Football - England - Premier League;Football;Does the specified team score in both halves?;14;20;40;1,83 €;0,00 €;82,93 €;51,57 €;-31,36 €;-60.82% ;0,52 €;83,45 €;6,68 €  /  51,57 €  ( 12.96% )
ene-21;Football - England - Championship;Football;Next goal of half;1;1;1;0,00 €;0,00 €;0,00 €;6,95 €;6,95 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - France - Ligue 1;Football;Double chance First Half;28;30;146;0,68 €;0,00 €;32,82 €;60,57 €;27,74 €;45.81%;0,40 €;33,23 €;8,94 €  /  60,51 €  ( 14.78% )
ene-21;Football - France - Ligue 2;Football;Correct score;2;4;4;0,00 €;0,00 €;1,13 €;4,86 €;3,73 €;76.74%;0,00 €;1,13 €;0,11 €  /  0,16 €  ( 69.38% )
ene-21;Football - Mexico - Primera División;Football;Will there be a penalty?;1;2;2;0,00 €;0,00 €;0,14 €;11,93 €;11,79 €;98.85%;0,00 €;0,14 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Italy - Serie A;Football;Even/Odd?;2;2;9;0,00 €;0,00 €;0,00 €;3,85 €;3,85 €;100.00%;0,00 €;0,00 €;0,27 €  /  0,45 €  ( 60.04% )
ene-21;Football - Italy - Serie A;Football;More/less rest of half;71;73;106;0,00 €;0,00 €;1.353,29 €;1.156,06 €;-197,22 €;-17.06% ;0,73 €;1.354,02 €;0,59 €  /  6,42 €  ( 9.23% )
ene-21;Football - Italy - Serie A;Football;Both teams to score?;548;631;2076;0,36 €;11,84 €;1.878,97 €;2.682,66 €;791,85 €;29.65%;18,28 €;1.909,09 €;298,49 €  /  1.824,16 €  ( 16.36% )
ene-21;Football - Italy - Serie A;Football;Remaining time 3-way;131;144;348;0,00 €;0,00 €;833,77 €;1.077,40 €;243,63 €;22.61%;0,11 €;833,89 €;3,76 €  /  33,35 €  ( 11.28% )
ene-21;Football - Italy - Serie A;Football;Over/under yellow cards 1st half;8;8;37;0,00 €;0,00 €;6,17 €;15,20 €;9,02 €;59.37%;0,00 €;6,17 €;3,30 €  /  13,10 €  ( 25.22% )
ene-21;Football - Italy - Serie B;Football;More/less rest of half;13;15;23;0,00 €;0,00 €;51,53 €;80,35 €;28,82 €;35.86%;0,00 €;51,53 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Spain - La Liga;Football;How many goals will be scored in this game?;12;12;13;0,00 €;0,00 €;67,36 €;56,04 €;-11,33 €;-20.21% ;0,00 €;67,36 €;2,98 €  /  32,87 €  ( 9.07% )
ene-21;Football - Belgium - PRO League;Football;Both teams to score?;79;88;382;0,00 €;0,00 €;265,90 €;343,25 €;77,35 €;22.53%;4,59 €;270,49 €;40,64 €  /  243,80 €  ( 16.67% )
ene-21;Football - Netherlands - Eredivisie;Football;Who scores next ?;35;37;63;0,00 €;0,00 €;97,73 €;344,67 €;246,94 €;71.65%;0,00 €;97,73 €;4,53 €  /  17,10 €  ( 26.47% )
ene-21;Football - Germany - Bundesliga;Football;Double chance;500;584;2432;46,34 €;27,29 €;4.583,75 €;6.408,38 €;1.797,34 €;28.17%;18,43 €;4.629,47 €;572,64 €  /  4.446,24 €  ( 12.88% )
ene-21;Football - Germany - Bundesliga;Football;Correct score;30;33;39;0,00 €;0,00 €;0,00 €;150,23 €;150,23 €;100.00%;0,00 €;0,00 €;26,82 €  /  150,23 €  ( 17.85% )
ene-21;Football - Germany - Bundesliga;Football;Halftime - Over/Under Bet;48;57;208;0,00 €;0,00 €;177,39 €;178,44 €;1,04 €;0.58%;0,74 €;178,14 €;22,53 €  /  101,30 €  ( 22.24% )
ene-21;Football - Germany - Bundesliga;Football;Does the specified team win either half?;4;5;30;0,00 €;0,00 €;10,29 €;8,77 €;-1,52 €;-17.38% ;0,19 €;10,48 €;1,56 €  /  8,77 €  ( 17.75% )
ene-21;Football - Croatia - HNL;Football;Handicap;0;0;2;0,00 €;0,00 €;0,00 €;0,08 €;0,08 €;100.00%;0,00 €;0,00 €;0,05 €  /  0,08 €  ( 55.75% )
ene-21;Football - Croatia - HNL;Football;Draw no bet;1;1;9;0,00 €;0,00 €;4,57 €;5,44 €;0,87 €;15.91%;0,00 €;4,57 €;1,66 €  /  5,44 €  ( 30.43% )
ene-21;Football - Croatia - HNL;Football;Who scores next ?;4;4;10;0,00 €;0,00 €;0,30 €;2,37 €;2,07 €;87.47%;0,00 €;0,30 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Hungary - NB I;Football;Double chance;6;6;40;0,00 €;0,00 €;313,16 €;142,87 €;-170,29 €;-119.19% ;0,30 €;313,46 €;7,27 €  /  93,81 €  ( 7.75% )
ene-21;Football - Hungary - NB I;Football;Handicap;1;1;5;0,00 €;0,00 €;2,76 €;1,60 €;-1,15 €;-71.96% ;0,00 €;2,76 €;0,38 €  /  1,56 €  ( 24.36% )
ene-21;Football - Hungary - NB I;Football;More/less rest of half;4;4;5;0,00 €;0,00 €;4,11 €;4,40 €;0,30 €;6.71%;0,00 €;4,11 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Hungary - NB I;Football;Over/Under goals in match;8;8;33;3,64 €;0,00 €;33,95 €;137,29 €;103,34 €;75.27%;0,00 €;33,95 €;20,30 €  /  86,20 €  ( 23.55% )
ene-21;Football - Hungary - NB I;Football;Who wins the half?;2;2;2;0,00 €;0,00 €;1,93 €;5,32 €;3,40 €;63.81%;0,00 €;1,93 €;0,02 €  /  0,69 €  ( 3.39% )
ene-21;Football - Poland - Ekstraklasa;Football;Double chance;2;2;13;0,00 €;0,01 €;0,64 €;4,75 €;4,10 €;86.54%;0,00 €;0,65 €;0,72 €  /  2,26 €  ( 31.78% )
ene-21;Football - Poland - Ekstraklasa;Football;Both teams to score?;3;3;10;0,00 €;0,00 €;0,38 €;11,78 €;11,40 €;96.76%;0,00 €;0,38 €;0,30 €  /  0,55 €  ( 54.74% )
ene-21;Football - Poland - Ekstraklasa;Football;Who wins the rest of the 1st half?;1;1;1;0,00 €;0,00 €;3,05 €;11,58 €;8,53 €;73.64%;0,00 €;3,05 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Poland - Ekstraklasa;Football;Does Team X score at least one goal?;0;0;1;0,00 €;0,00 €;0,00 €;0,02 €;0,02 €;100.00%;0,00 €;0,00 €;0,01 €  /  0,02 €  ( 83.27% )
ene-21;Football - England - National League;Football;Who scores next ?;8;9;16;0,00 €;0,00 €;12,17 €;9,19 €;-2,97 €;-32.33% ;0,00 €;12,17 €;0,00 €  /  0,06 €  ( 4.89% )
ene-21;Football - England - National League;Football;Over/Under rest of the game;11;11;41;0,00 €;0,00 €;18,56 €;68,26 €;49,70 €;72.81%;0,27 €;18,83 €;0,08 €  /  0,47 €  ( 16.37% )
ene-21;Football - England - National League;Football;Over/Under goals in match;28;29;192;0,00 €;0,00 €;54,07 €;86,91 €;32,83 €;37.78%;0,34 €;54,41 €;15,59 €  /  59,75 €  ( 26.08% )
ene-21;Football - England - League Two;Football;Over/Under rest of the game;7;8;31;0,00 €;0,00 €;780,22 €;717,84 €;-62,38 €;-8.69% ;0,09 €;780,31 €;0,02 €  /  0,11 €  ( 16.59% )
ene-21;Football - England - League Two;Football;3-Way;74;88;397;0,00 €;8,61 €;81,98 €;161,33 €;70,75 €;46.32%;0,44 €;91,02 €;14,46 €  /  76,65 €  ( 18.87% )
ene-21;Football - Turkey - 1. Lig;Football;More/less rest of half;7;8;15;0,00 €;0,00 €;39,20 €;32,24 €;-6,96 €;-21.58% ;0,00 €;39,20 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Turkey - 1. Lig;Football;Who wins the half?;7;7;13;0,00 €;0,00 €;56,35 €;25,28 €;-31,07 €;-122.94% ;0,00 €;56,35 €;0,04 €  /  0,22 €  ( 20.51% )
ene-21;Football - Greece - Super League;Football;Does the specified team win either half?;2;2;4;0,00 €;0,00 €;9,27 €;17,52 €;8,25 €;47.09%;0,00 €;9,27 €;0,70 €  /  5,94 €  ( 11.74% )
ene-21;Football - Australia - A-League;Football;Over/Under corners in match;7;7;16;0,00 €;0,00 €;33,53 €;112,93 €;79,40 €;70.31%;0,00 €;33,53 €;2,87 €  /  30,38 €  ( 9.45% )
ene-21;Football - Australia - A-League;Football;Correct score;5;5;5;0,00 €;0,00 €;56,40 €;11,78 €;-44,62 €;-378.86% ;0,00 €;56,40 €;2,69 €  /  11,78 €  ( 22.84% )
ene-21;Football - Australia - A-League;Football;Who wins the half?;3;3;4;0,00 €;0,00 €;0,00 €;3,47 €;3,47 €;100.00%;0,00 €;0,00 €;0,35 €  /  2,53 €  ( 13.97% )
ene-21;Basketball - Germany - BBL;Basketball;Over/Under points in Quarter;40;40;42;0,00 €;0,00 €;697,60 €;765,99 €;68,39 €;8.93%;0,00 €;697,60 €;0,25 €  /  2,41 €  ( 10.45% )
ene-21;Basketball - USA - NBA;Basketball;Handicap Quarter;200;213;235;0,00 €;0,00 €;2.564,73 €;2.293,90 €;-270,83 €;-11.81% ;0,00 €;2.564,73 €;24,98 €  /  218,50 €  ( 11.43% )
ene-21;Basketball - USA - NBA;Basketball;Over/Under points in Quarter;914;931;1053;3,09 €;102,91 €;10.351,86 €;11.794,43 €;1.339,66 €;11.46%;0,53 €;10.455,31 €;67,02 €  /  658,41 €  ( 10.18% )
ene-21;Football - Romania - Liga I;Football;Will there be at least 1 goal in both halves?;1;1;1;0,00 €;0,00 €;0,00 €;0,23 €;0,23 €;100.00%;0,00 €;0,00 €;0,03 €  /  0,23 €  ( 12.26% )
ene-21;Football - Romania - Liga I;Football;Who scores next ?;8;8;12;0,00 €;0,00 €;0,47 €;18,38 €;17,91 €;97.45%;0,00 €;0,47 €;0,01 €  /  0,03 €  ( 18.85% )
ene-21;Basketball - Russia - Cup;Basketball;Over/Under points at Half-time;2;2;2;0,00 €;0,00 €;0,00 €;57,91 €;57,91 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Russia - Cup;Basketball;Over/Under points in Quarter;2;2;2;0,00 €;0,00 €;0,00 €;48,87 €;48,87 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Russia - Cup;Basketball;Over/under points in quarter for team;1;1;1;0,00 €;0,00 €;59,07 €;23,16 €;-35,90 €;-155.00% ;0,00 €;59,07 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Russia - Cup;Basketball;Match Winner;14;14;15;0,00 €;0,00 €;139,25 €;547,50 €;408,25 €;74.57%;0,00 €;139,25 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Italy - Serie A;Basketball;Handicap Quarter;6;6;6;0,00 €;0,00 €;58,09 €;165,59 €;107,50 €;64.92%;0,00 €;58,09 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Spain - Liga ACB;Basketball;Handicap;38;48;55;0,00 €;15,33 €;1.035,57 €;625,38 €;-425,52 €;-69.75% ;0,00 €;1.050,89 €;4,03 €  /  78,18 €  ( 5.15% )
ene-21;Football - Portugal - Liga Portugal 2;Football;Both teams to score?;9;9;32;0,00 €;5,04 €;9,44 €;30,08 €;15,60 €;62.30%;0,00 €;14,48 €;3,28 €  /  17,26 €  ( 19.01% )
ene-21;Football - Portugal - Liga Portugal 2;Football;Who wins the half?;12;13;20;0,00 €;2,28 €;165,61 €;102,08 €;-65,81 €;-65.94% ;0,00 €;167,89 €;6,67 €  /  68,83 €  ( 9.69% )
ene-21;Football - Ukraine - Premier League;Football;3-Way;0;0;7;0,00 €;0,00 €;0,00 €;1,22 €;1,22 €;100.00%;0,00 €;0,00 €;0,70 €  /  1,22 €  ( 56.97% )
ene-21;Football - Iceland - Cup;Football;Over/Under rest of the game;1;1;4;0,00 €;0,00 €;0,00 €;4,94 €;4,94 €;100.00%;0,00 €;0,00 €;0,26 €  /  1,94 €  ( 13.31% )
ene-21;Football - Iceland - Cup;Football;More/less rest of half;3;3;3;0,00 €;0,00 €;8,00 €;62,75 €;54,75 €;87.25%;0,00 €;8,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Ice Hockey - Russia - KHL;Ice Hockey;3-Way;38;50;230;0,00 €;0,00 €;52,71 €;361,69 €;308,98 €;85.43%;2,36 €;55,08 €;35,86 €  /  173,68 €  ( 20.65% )
ene-21;Basketball - Australia - NBL;Basketball;Over/Under points in Quarter;2;3;3;0,00 €;0,00 €;52,77 €;30,65 €;-22,12 €;-72.17% ;0,00 €;52,77 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Australia - NBL;Basketball;Over/under points in quarter for team;0;0;1;0,00 €;0,00 €;0,00 €;2,32 €;2,32 €;100.00%;0,00 €;0,00 €;0,31 €  /  2,32 €  ( 13.53% )
ene-21;Basketball - Sweden - Ligan;Basketball;Over/under points in halftime for team;5;5;5;0,00 €;0,00 €;79,81 €;121,48 €;41,67 €;34.30%;0,00 €;79,81 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Volleyball - Germany - 1st Bundesliga Women;Volleyball;Who will win the set ?;3;3;3;0,00 €;0,00 €;21,21 €;10,88 €;-10,32 €;-94.82% ;0,00 €;21,21 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Israel - Premier League;Football;Who scores next ?;10;12;17;0,00 €;0,00 €;1,62 €;22,07 €;20,46 €;92.67%;0,03 €;1,64 €;0,04 €  /  0,29 €  ( 12.94% )
ene-21;Football - Brazil - Carioca, Serie A;Football;Will there be at least 1 goal in both halves?;1;1;1;0,00 €;0,00 €;3,24 €;1,62 €;-1,62 €;-100.00% ;0,00 €;3,24 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Brazil - Carioca, Serie A;Football;Highest scoring half?;1;1;1;0,00 €;0,00 €;3,71 €;1,16 €;-2,55 €;-220.00% ;0,00 €;3,71 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Brazil - Carioca, Serie A;Football;Both teams to score?;1;1;2;0,00 €;0,00 €;60,80 €;34,86 €;-25,94 €;-74.42% ;0,00 €;60,80 €;0,08 €  /  0,12 €  ( 68.71% )
ene-21;Football - Brazil - Carioca, Serie A;Football;Who wins the half?;1;1;3;0,00 €;0,00 €;5,44 €;2,41 €;-3,03 €;-125.96% ;0,00 €;5,44 €;0,03 €  /  0,09 €  ( 32.84% )
ene-21;Volleyball - Italy - Coppa Italia Superlega;Volleyball;Number of points in match;0;0;3;0,00 €;0,00 €;0,00 €;0,03 €;0,03 €;100.00%;0,00 €;0,00 €;0,03 €  /  0,03 €  ( 84.93% )
ene-21;Volleyball - Italy - Coppa Italia Superlega;Volleyball;Who will win the set ?;2;2;2;0,00 €;0,00 €;0,00 €;0,58 €;0,58 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Volleyball - Italy - Coppa Italia Superlega;Volleyball;2-Way;1;1;6;0,00 €;0,00 €;0,26 €;0,26 €;0,00 €;1.45%;0,00 €;0,26 €;0,04 €  /  0,26 €  ( 16.12% )
ene-21;Football - New Zealand - Premiership;Football;Handicap;2;2;4;0,00 €;0,00 €;4,25 €;3,13 €;-1,11 €;-35.45% ;0,00 €;4,25 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Brazil - Brasileiro Serie B;Football;Will there be at least 1 goal in both halves?;29;29;56;0,00 €;0,00 €;71,51 €;73,91 €;2,40 €;3.24%;0,00 €;71,51 €;4,55 €  /  17,89 €  ( 25.41% )
ene-21;Football - Brazil - Brasileiro Serie B;Football;Over/Under rest of the game;78;82;209;0,00 €;0,00 €;435,64 €;560,97 €;125,33 €;22.34%;0,16 €;435,81 €;1,41 €  /  19,78 €  ( 7.13% )
ene-21;Football - Mexico - Liga Premier;Football;Over/Under goals in match;2;2;3;0,00 €;0,00 €;0,00 €;20,07 €;20,07 €;100.00%;0,00 €;0,00 €;0,51 €  /  4,63 €  ( 11.06% )
ene-21;Football - Mexico - Liga Premier;Football;Halftime - Over/Under Bet;1;1;1;0,00 €;0,00 €;2,22 €;1,39 €;-0,83 €;-60.00% ;0,00 €;2,22 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Mexico - Liga Premier;Football;3-Way;9;9;15;0,00 €;0,00 €;8,80 €;11,38 €;2,57 €;22.60%;0,00 €;8,80 €;0,03 €  /  0,48 €  ( 7.00% )
ene-21;Football - Mexico - Liga Premier;Football;Remaining time 3-way;0;0;2;0,00 €;0,00 €;0,00 €;0,09 €;0,09 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Lithuania - LKL;Basketball;Over/Under points at Half-time;7;7;8;0,00 €;0,00 €;398,43 €;246,51 €;-151,92 €;-61.63% ;0,00 €;398,43 €;0,15 €  /  0,20 €  ( 71.07% )
ene-21;Basketball - Lithuania - LKL;Basketball;Quarter Winner;1;1;1;0,00 €;0,00 €;0,00 €;0,81 €;0,81 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Lithuania - LKL;Basketball;Over/under points in halftime for team;5;5;5;0,00 €;0,00 €;68,05 €;107,97 €;39,92 €;36.97%;0,00 €;68,05 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Darts - International - The Masters;Darts only with legs;Handicap;1;1;1;0,00 €;0,00 €;0,38 €;0,23 €;-0,15 €;-65.00% ;0,00 €;0,38 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Darts - International - The Masters;Darts only with legs;Match Winner;5;5;10;0,00 €;0,00 €;16,63 €;12,38 €;-4,25 €;-34.32% ;0,00 €;16,63 €;-0,24 €  /  9,38 €  ( -2.57% )
ene-21;Football - Spain - Segunda Division RFEF, Gr. I;Football;Over/Under goals in match;19;20;80;0,00 €;0,00 €;103,60 €;154,92 €;51,32 €;33.13%;1,03 €;104,62 €;10,01 €  /  24,48 €  ( 40.91% )
ene-21;Football - Spain - Segunda Division RFEF, Gr. II;Football;Correct score;1;1;2;0,00 €;0,00 €;0,00 €;0,30 €;0,30 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Spain - Segunda Division RFEF, Gr. II;Football;More/less rest of half;1;2;2;0,00 €;0,00 €;68,82 €;13,36 €;-55,46 €;-415.20% ;0,00 €;68,82 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Spain - Segunda Division RFEF, Gr. III;Football;Who scores next ?;7;7;8;0,00 €;0,00 €;89,94 €;25,22 €;-64,73 €;-256.64% ;0,00 €;89,94 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Spain - Segunda Division RFEF, Gr. III;Football;More/less rest of half;3;3;7;0,00 €;0,00 €;10,23 €;14,34 €;4,10 €;28.62%;0,00 €;10,23 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Spain - Segunda Division RFEF, Gr. III;Football;Who wins the half?;1;1;2;0,00 €;0,00 €;0,00 €;11,58 €;11,58 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Spain - Segunda Division RFEF, Gr. IV;Football;Halftime - Over/Under Bet;0;0;4;0,00 €;0,00 €;0,00 €;0,05 €;0,05 €;100.00%;0,00 €;0,00 €;0,03 €  /  0,05 €  ( 54.79% )
ene-21;Volleyball - Turkey - Efeler Ligi;Volleyball;Number of points in match;2;2;34;0,00 €;0,00 €;0,00 €;1,27 €;1,27 €;100.00%;0,00 €;0,00 €;0,88 €  /  1,27 €  ( 68.99% )
ene-21;Volleyball - Czech Republic - Extraliga, Women;Volleyball;Who will win the set ?;1;1;1;0,00 €;0,00 €;0,00 €;0,23 €;0,23 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - International - Liga ABA;Basketball;Half-time Winner;1;1;1;0,00 €;0,00 €;0,33 €;0,28 €;-0,05 €;-17.00% ;0,00 €;0,33 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Volleyball - Italy - Serie A1, Women;Volleyball;Who will win the set ?;1;1;1;0,00 €;0,00 €;0,00 €;0,23 €;0,23 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Volleyball - Russia - Superliga, Women;Volleyball;Number of points in match;1;1;18;0,00 €;0,00 €;43,64 €;0,60 €;-43,05 €;-7,201.74% ;4,36 €;48,01 €;0,40 €  /  0,60 €  ( 67.48% )
ene-21;Basketball - Brazil - NBB;Basketball;Over/Under per team;13;13;14;0,00 €;0,00 €;424,11 €;471,35 €;47,23 €;10.02%;0,00 €;424,11 €;21,18 €  /  117,74 €  ( 17.99% )
ene-21;Handball - Hungary - NB I, Women;Handball;Who wins the half?;1;1;1;13,20 €;0,00 €;34,05 €;9,73 €;-24,32 €;-250.00% ;0,00 €;34,05 €;1,75 €  /  9,73 €  ( 17.94% )
ene-21;Football - Costa Rica - Primera Division, Clausura;Football;Who wins the half?;10;10;17;0,00 €;0,00 €;12,86 €;48,11 €;35,25 €;73.27%;0,00 €;12,86 €;2,46 €  /  42,24 €  ( 5.83% )
